IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander,Gulfstream,Fixed Wing,Airplane,Gulfstream
HS7,A748,Hawker Siddeley HS 748,Avro International Aerospace,Fixed Wing,Airplane,Avro International Aerospace
E95,E195,Embraer 195,Embraer,Fixed Wing,Airplane,Embraer
I14,I114,Ilyushin IL114,Russian Aircraft Corporation MiG,Fixed Wing,Airplane,Russian Aircraft Corporation MiG
IL6,IL62,Ilyushin IL62,Ilyushin,Fixed Wing,Airplane,Ilyushin
N/A,E545,Embraer Legacy 450 / Praetor 500,Embraer,Fixed Wing,Airplane,Embraer
N/A,A5,ICON A5,ICON,Fixed Wing,Airplane,ICON
JU5,JU52,Junkers Ju 52/3M,Junkers,Fixed Wing,Airplane,Junkers
EP3,E55P,Embraer Phenom 300,Embraer,Fixed Wing,Airplane,Embraer
I93,IL96,Ilyushin IL96,Ilyushin,Fixed Wing,Airplane,Ilyushin
EMB,E110,Embraer EMB 110 Bandeirante,Embraer,Fixed Wing,Airplane,Embraer
MBH,B105,Eurocopter (MBB) Bo.105,Eurocopter,Rotary Wing,Helicopter,Eurocopter
L4T,L410,LET 410,Let Kunovice,Fixed Wing,Airplane,Let Kunovice
E90,E190,Embraer Lineage 1000,Embraer,Fixed Wing,Airplane,Embraer
N/A,EC45,Eurocopter EC145,Eurocopter,Rotary Wing,Helicopter,Eurocopter
L49,CONI,Lockheed L-1049 Super Constellation,Lockheed Corporation,Fixed Wing,Airplane,Lockheed Corporation
M11,MD11,McDonnell Douglas MD-11,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
ER4,E145,Embraer RJ145,Embraer,Fixed Wing,Airplane,Embraer
M83,MD83,McDonnell Douglas MD-83,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D28,D228,Fairchild Dornier Do.228,Dornier Luftfahrt,Fixed Wing,Airplane,Dornier Luftfahrt
N/A,EC20,Eurocopter EC120 Colibri / Harbin HC120,Eurocopter,Rotary Wing,Helicopter,Eurocopter
F27,F27,Fokker F27 Friendship,Fokker,Fixed Wing,Airplane,Fokker
ILW,IL86,Ilyushin IL86,Ilyushin,Fixed Wing,Airplane,Ilyushin
N/A,EVSS,Evektor SportStar,Evektor-Aerotechnik,Fixed Wing,Airplane,Evektor-Aerotechnik
GRM,G73T,Grumman G-73 Turbo Mallard,Grumman,Fixed Wing,Airplane,Grumman
F50,F50,Fokker 50,Fokker,Fixed Wing,Airplane,Fokker
GJ5,GLF5,Gulfstream V,Gulfstream,Fixed Wing,Airplane,Gulfstream
M1F,MD11,McDonnell Douglas MD-11F,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad,Government Aircraft Factories,Fixed Wing,Airplane,Government Aircraft Factories
N/A,HDJT,Honda HA-420,Honda,Fixed Wing,Airplane,Honda
GJ6,GLF6,Gulfstream G650,Gulfstream,Fixed Wing,Airplane,Gulfstream
IL7,IL76,Ilyushin IL76,Ilyushin,Fixed Wing,Airplane,Ilyushin
N/A,MI24,Mil Mi-24 / Mi-25 / Mi-35,Mil Moscow Helicopter Plant,Rotary Wing,Helicopter,Mil Moscow Helicopter Plant
YN2,Y12,Harbin Yunshuji Y12,Harbin Aircraft Industry Group,Fixed Wing,Airplane,Harbin Aircraft Industry Group
LRJ,LJ35,Learjet 35 / 36 / C-21A,Learjet,Fixed Wing,Airplane,Learjet
N/A,P180,Piaggio P.180 Avanti,Piaggio Aero,Fixed Wing,Airplane,Piaggio Aero
IL8,IL18,Ilyushin IL18,Ilyushin,Fixed Wing,Airplane,Ilyushin
N/A,P28B,Piper PA-28 (above 200??hp),Piper Aircraft,Fixed Wing,Airplane,Piper Aircraft
M88,MD88,McDonnell Douglas MD-88,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
WWP,WW24,Israel Aircraft Industries 1124 Westwind,Israel Aircraft Industries,Fixed Wing,Airplane,Israel Aircraft Industries
LOH,C130,Lockheed L-182 / 282 / 382 (L-100) Hercules,Lockheed Corporation,Fixed Wing,Airplane,Lockheed Corporation
LRJ,LJ60,Learjet 60,Learjet,Fixed Wing,Airplane,Learjet
MU2,MU2,Mitsubishi Mu-2,Mitsubishi,Fixed Wing,Airplane,Mitsubishi
N/A,PISI,Pipistrel Sinus,Pipistrel,Fixed Wing,Airplane,Pipistrel
L10,L101,Lockheed L-1011 Tristar,Lockheed Corporation,Fixed Wing,Airplane,Lockheed Corporation
BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander,Britten-Norman,Fixed Wing,Airplane,Britten-Norman
M1M,MD11,McDonnell Douglas MD-11C,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
LOE,L188,Lockheed L-188 Electra,Lockheed Corporation,Fixed Wing,Airplane,Lockheed Corporation
PA2,PA31,Piper PA-31 Navajo,Piper Aircraft,Fixed Wing,Airplane,Piper Aircraft
